Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
40,0.6,1.2,0.01,-13.459
50,0.0,0.0,1e-06,7.262
50,0.0,0.0,1e-05,7.268
50,0.0,0.0,0.0001,7.321
50,0.0,0.0,0.001,7.77
50,0.0,0.0,0.01,9.704
50,0.0,0.2,1e-06,-7.876
50,0.0,0.2,1e-05,-7.875
50,0.0,0.2,0.0001,-7.868
50,0.0,0.2,0.001,-7.819
50,0.0,0.2,0.01,-7.742
50,0.0,0.5,1e-06,-10.757
50,0.0,0.5,1e-05,-10.756
50,0.0,0.5,0.0001,-10.749
50,0.0,0.5,0.001,-10.699
50,0.0,0.5,0.01,-10.603
50,0.0,0.8,1e-06,-12.281
50,0.0,0.8,1e-05,-12.28
50,0.0,0.8,0.0001,-12.273
50,0.0,0.8,0.001,-12.221
50,0.0,0.8,0.01,-12.114
50,0.0,1.0,1e-06,-13.022
50,0.0,1.0,1e-05,-13.021
50,0.0,1.0,0.0001,-13.013
50,0.0,1.0,0.001,-12.961
50,0.0,1.0,0.01,-12.847
50,0.0,1.2,1e-06,-13.636
50,0.0,1.2,1e-05,-13.635
50,0.0,1.2,0.0001,-13.628
50,0.0,1.2,0.001,-13.574
50,0.0,1.2,0.01,-13.456
50,0.2,0.0,1e-06,4.308
50,0.2,0.0,1e-05,4.311
50,0.2,0.0,0.0001,4.342
50,0.2,0.0,0.001,4.605
50,0.2,0.0,0.01,5.792
50,0.2,0.2,1e-06,-6.765
50,0.2,0.2,1e-05,-6.764
50,0.2,0.2,0.0001,-6.753
50,0.2,0.2,0.001,-6.665
50,0.2,0.2,0.01,-6.415
50,0.2,0.5,1e-06,-8.602
50,0.2,0.5,1e-05,-8.601
50,0.2,0.5,0.0001,-8.59
50,0.2,0.5,0.001,-8.508
50,0.2,0.5,0.01,-8.288
50,0.2,0.8,1e-06,-9.576
50,0.2,0.8,1e-05,-9.575
50,0.2,0.8,0.0001,-9.565
50,0.2,0.8,0.001,-9.487
50,0.2,0.8,0.01,-9.287
50,0.2,1.0,1e-06,-10.053
50,0.2,1.0,1e-05,-10.052
50,0.2,1.0,0.0001,-10.042
50,0.2,1.0,0.001,-9.967
50,0.2,1.0,0.01,-9.779
50,0.2,1.2,1e-06,-10.453
50,0.2,1.2,1e-05,-10.452
50,0.2,1.2,0.0001,-10.442
50,0.2,1.2,0.001,-10.369
50,0.2,1.2,0.01,-10.191
50,0.4,0.0,1e-06,1.203
50,0.4,0.0,1e-05,1.205
50,0.4,0.0,0.0001,1.222
50,0.4,0.0,0.001,1.381
50,0.4,0.0,0.01,2.283
50,0.4,0.2,1e-06,-9.575
50,0.4,0.2,1e-05,-9.574
50,0.4,0.2,0.0001,-9.568
50,0.4,0.2,0.001,-9.51
50,0.4,0.2,0.01,-9.276
50,0.4,0.5,1e-06,-11.874
50,0.4,0.5,1e-05,-11.873
50,0.4,0.5,0.0001,-11.867
50,0.4,0.5,0.001,-11.814
50,0.4,0.5,0.01,-11.61
50,0.4,0.8,1e-06,-13.116
50,0.4,0.8,1e-05,-13.116
50,0.4,0.8,0.0001,-13.11
50,0.4,0.8,0.001,-13.06
50,0.4,0.8,0.01,-12.871
50,0.4,1.0,1e-06,-13.722
50,0.4,1.0,1e-05,-13.721
50,0.4,1.0,0.0001,-13.716
50,0.4,1.0,0.001,-13.667
50,0.4,1.0,0.01,-13.485
50,0.4,1.2,1e-06,-14.225
50,0.4,1.2,1e-05,-14.224
50,0.4,1.2,0.0001,-14.218
50,0.4,1.2,0.001,-14.171
50,0.4,1.2,0.01,-13.996
50,0.6,0.0,1e-06,0.371
50,0.6,0.0,1e-05,0.373
50,0.6,0.0,0.0001,0.397
50,0.6,0.0,0.001,0.609
50,0.6,0.0,0.01,1.692
50,0.6,0.2,1e-06,-10.647
50,0.6,0.2,1e-05,-10.646
50,0.6,0.2,0.0001,-10.639
50,0.6,0.2,0.001,-10.578
50,0.6,0.2,0.01,-10.324
50,0.6,0.5,1e-06,-12.937
50,0.6,0.5,1e-05,-12.936
50,0.6,0.5,0.0001,-12.93
50,0.6,0.5,0.001,-12.876
50,0.6,0.5,0.01,-12.658
50,0.6,0.8,1e-06,-14.163
50,0.6,0.8,1e-05,-14.162
50,0.6,0.8,0.0001,-14.156
50,0.6,0.8,0.001,-14.106
50,0.6,0.8,0.01,-13.909
50,0.6,1.0,1e-06,-14.762
50,0.6,1.0,1e-05,-14.761
